  Max Value: 2.191582, Column: SRR22028618  Second Max Value: 1.787777, Column: SRR22028616
  Max Value: 1.438018, Column: SRR16005343  Second Max Value: 0.659212, Column: SRR15291905
  Max Value: 4.033879, Column: SRR16005343  Second Max Value: 3.763381, Column: SRR16005344
  Max Value: 4.062596, Column: SRR5363153  Second Max Value: 2.391676, Column: SRR12886434
  Max Value: 1.254086, Column: SRR15291904  Second Max Value: 0.897513, Column: SRR15291899
  Max Value: 2.133790, Column: SRR3109708  Second Max Value: 1.027211, Column: SRR3109709
  Max Value: 8.818682, Column: SRR15838017  Second Max Value: 7.033436, Column: SRR15838016
  Max Value: 1.032739, Column: SRR12886447  Second Max Value: 0.363028, Column: SRR19850291
  Max Value: 4.562223, Column: SRR8703221  Second Max Value: 4.402241, Column: SRR1640064
  Max Value: 2.272808, Column: SRR2777584  Second Max Value: 0.379778, Column: SRR3109704
  Max Value: 5.525012, Column: SRR22028617  Second Max Value: 5.397570, Column: SRR18603952
  Max Value: 2.274361, Column: SRR18603952  Second Max Value: 2.014064, Column: SRR18603955
  Max Value: 1.747965, Column: SRR18603955  Second Max Value: 0.085914, Column: SRR18603954
  Max Value: 1.296355, Column: SRR11657438  Second Max Value: 1.133686, Column: SRR11657440
  Max Value: 1.360322, Column: SRR3109703  Second Max Value: 1.264984, Column: SRR3109704
  Max Value: 3.540861, Column: SRR15300720  Second Max Value: 3.346161, Column: SRR15300721
  Max Value: 1.283487, Column: SRR15183066  Second Max Value: 1.112997, Column: SRR2777520
  Max Value: 2.988678, Column: SRR16005345  Second Max Value: 0.760578, Column: SRR16005344
  Max Value: 2.177790, Column: SRR13490729  Second Max Value: 0.000000, Column: SRR11657438
  Max Value: 10.235141, Column: SRR16005345  Second Max Value: 10.094262, Column: SRR16005344
  Max Value: 5.897320, Column: SRR13490730  Second Max Value: 2.706626, Column: SRR13490729
  Max Value: 1.178094, Column: SRR16005345  Second Max Value: 0.452644, Column: SRR13490729
  Max Value: 2.667812, Column: SRR15838014  Second Max Value: 2.524178, Column: SRR15838021
  Max Value: 8.881039, Column: SRR15838021  Second Max Value: 8.756226, Column: SRR15838014
  Max Value: 2.340458, Column: SRR18603954  Second Max Value: 1.808293, Column: SRR18603952
  Max Value: 3.314919, Column: SRR15838023  Second Max Value: 1.778557, Column: SRR15838024
  Max Value: 2.155448, Column: SRR13490730  Second Max Value: 0.902900, Column: SRR13490729
  Max Value: 2.588367, Column: SRR16005345  Second Max Value: 2.532822, Column: SRR3109708
  Max Value: 3.249620, Column: SRR16005345  Second Max Value: 0.049404, Column: SRR13490730
  Max Value: 6.995278, Column: SRR8703221  Second Max Value: 6.754268, Column: SRR1640064
