  Max Value: 5.090910, Column: SRR17344568  Second Max Value: 4.551748, Column: SRR17344570
  Max Value: 3.223277, Column: SRR17344568  Second Max Value: 3.035083, Column: SRR17344570
  Max Value: 1.284007, Column: SRR17344570  Second Max Value: 0.288144, Column: SRR17344568
  Max Value: 1.231841, Column: SRR17344568  Second Max Value: 0.811358, Column: SRR17344570
  Max Value: 33.778542, Column: SRR17344570  Second Max Value: 21.627028, Column: SRR17344568
  Max Value: 14.593933, Column: SRR8002969  Second Max Value: 7.733038, Column: SRR13417623
  Max Value: 2.573768, Column: SRR15465983  Second Max Value: 2.474468, Column: SRR15465977
  Max Value: 5.345315, Column: SRR17344570  Second Max Value: 1.588173, Column: SRR17344568
  Max Value: 4.302020, Column: SRR17344570  Second Max Value: 2.691940, Column: SRR17344568
  Max Value: 1.184717, Column: SRR17344568  Second Max Value: 0.000000, Column: SRR10980024
  Max Value: 6.486429, Column: SRR13417624  Second Max Value: 5.515563, Column: SRR13417623
  Max Value: 1.976311, Column: SRR17344570  Second Max Value: 1.446436, Column: SRR17344568
  Max Value: 1.553470, Column: SRR15465983  Second Max Value: 0.518239, Column: SRR15465977
  Max Value: 1.765272, Column: SRR17344568  Second Max Value: 1.487824, Column: SRR19392622
  Max Value: 2.227839, Column: SRR17344568  Second Max Value: 2.117465, Column: SRR17344570
  Max Value: 1.731532, Column: SRR17344568  Second Max Value: 1.513115, Column: SRR17344570
  Max Value: 2.064457, Column: SRR15465977  Second Max Value: 1.135517, Column: SRR17344570
  Max Value: 1.431587, Column: SRR17344568  Second Max Value: 0.000000, Column: SRR10980024
  Max Value: 6.552972, Column: SRR16991080  Second Max Value: 4.151599, Column: SRR16991072
  Max Value: 1.414145, Column: SRR17344568  Second Max Value: 0.558422, Column: SRR15465983
  Max Value: 1.598504, Column: SRR5684851  Second Max Value: 1.557109, Column: SRR9124584
  Max Value: 2.400746, Column: SRR15465983  Second Max Value: 1.888663, Column: SRR11365452
  Max Value: 1.866900, Column: SRR15465983  Second Max Value: 1.636672, Column: SRR16991079
  Max Value: 2.211251, Column: SRR15465983  Second Max Value: 1.959395, Column: SRR15465977
  Max Value: 3.431650, Column: SRR21778717  Second Max Value: 2.336447, Column: SRR21778716
  Max Value: 2.712543, Column: SRR15465977  Second Max Value: 2.623362, Column: SRR15465983
  Max Value: 1.272417, Column: SRR17344568  Second Max Value: 0.936236, Column: SRR17344570
  Max Value: 2.382200, Column: SRR17344570  Second Max Value: 1.630968, Column: SRR9124584
  Max Value: 1.883510, Column: SRR17344570  Second Max Value: 1.152364, Column: SRR5690236
