  Max Value: 2.267613, Column: ERR489204  Second Max Value: 2.210323, Column: ERR489205
  Max Value: 2.035540, Column: SRR8258959  Second Max Value: 0.241105, Column: SRR8934210
  Max Value: 2.465227, Column: SRR7755449  Second Max Value: 0.724422, Column: ERR2075512
  Max Value: 3.760384, Column: SRR7755449  Second Max Value: 0.712251, Column: SRR12247890
  Max Value: 3.975722, Column: ERR489162  Second Max Value: 3.742279, Column: ERR489165
  Max Value: 3.337157, Column: ERR489162  Second Max Value: 2.960093, Column: ERR489165
  Max Value: 3.228628, Column: ERR2077887  Second Max Value: 2.577085, Column: ERR2074736
  Max Value: 1.412434, Column: SRR14839325  Second Max Value: 1.242637, Column: ERR2075521
  Max Value: 3.036021, Column: ERR2074046  Second Max Value: 2.989871, Column: ERR2074043
  Max Value: 2.348705, Column: SRR9695022  Second Max Value: 1.259277, Column: ERR2075513
  Max Value: 4.635854, Column: ERR489205  Second Max Value: 4.625528, Column: ERR489204
  Max Value: 2.110355, Column: ERR2076274  Second Max Value: 1.328889, Column: SRR8258963
  Max Value: 3.287856, Column: ERR2074547  Second Max Value: 3.271975, Column: ERR2076168
  Max Value: 1.740310, Column: SRR3109717  Second Max Value: 0.920983, Column: SRR3109718
  Max Value: 1.912358, Column: SRR8258963  Second Max Value: 0.818467, Column: SRR8258961
  Max Value: 1.743342, Column: SRR8258959  Second Max Value: 1.471903, Column: SRR6780842
  Max Value: 3.388016, Column: SRR8258959  Second Max Value: 1.260956, Column: SRR8258963
  Max Value: 1.925857, Column: ERR2075394  Second Max Value: 1.552534, Column: SRR8258959
  Max Value: 5.754963, Column: SRR8258959  Second Max Value: 1.255914, Column: ERR2074049
  Max Value: 1.047938, Column: SRR8258963  Second Max Value: 0.911521, Column: SRR8258959
  Max Value: 4.553438, Column: ERR9578130  Second Max Value: 4.422452, Column: ERR9578131
  Max Value: 1.780321, Column: SRR8399079  Second Max Value: 1.596783, Column: ERR2074605
  Max Value: 1.504415, Column: SRR7755449  Second Max Value: 1.415602, Column: SRR8367179
  Max Value: 2.106503, Column: SRR12247888  Second Max Value: 1.443377, Column: SRR12247890
  Max Value: 1.157208, Column: SRR8002918  Second Max Value: 0.916224, Column: SRR8258963
  Max Value: 1.862504, Column: SRR8258963  Second Max Value: 1.798618, Column: SRR8258959
  Max Value: 1.528367, Column: SRR11829443  Second Max Value: 1.093577, Column: SRR10426640
  Max Value: 1.419696, Column: SRR8258963  Second Max Value: 0.468358, Column: SRR13108334
  Max Value: 1.230482, Column: SRR8258959  Second Max Value: 0.233497, Column: SRR8357176
  Max Value: 3.418581, Column: SRR8357176  Second Max Value: 1.113895, Column: SRR8357175
  Max Value: 6.426750, Column: SRR8357176  Second Max Value: 0.919676, Column: ERR2077449
  Max Value: 3.799827, Column: SRR8357175  Second Max Value: 2.779566, Column: SRR8357176
